county,status,error_description
Hendry,Failure,"Empty value in column 'o_zipcode' for parcel ogc_fid:897675964, pin:1 28 43 01 A00 0019.0000. Empty value in column 'legal_full' for parcel ogc_fid:897679662, pin:1 28 43 01 A00 0012.0000. Empty value in column 'o_address1' for parcel ogc_fid:897685942, pin:1 28 43 01 A00 0020.0100. Empty value in column 'o_address1' for parcel ogc_fid:897679662, pin:1 28 43 01 A00 0012.0000. Empty value in column 'o_address1' for parcel ogc_fid:897675964, pin:1 28 43 01 A00 0019.0000. Empty value in column 'o_zipcode' for parcel ogc_fid:897685942, pin:1 28 43 01 A00 0020.0100. Empty value in column 'o_city' for parcel ogc_fid:897685942, pin:1 28 43 01 A00 0020.0100. Empty value in column 'o_zipcode' for parcel ogc_fid:897660525, pin:1 28 43 01 A00 0018.0000. Empty value in column 'o_address1' for parcel ogc_fid:897660525, pin:1 28 43 01 A00 0018.0000. Empty value in column 'o_zipcode' for parcel ogc_fid:897679662, pin:1 28 43 01 A00 0012.0000. Empty value in column 'o_address1' for parcel ogc_fid:897682395, pin:1 28 43 02 030 000C-003.0. Empty value in column 'o_address1' for parcel ogc_fid:897682650, pin:1 28 43 01 A00 0020.0200. Empty value in column 'legal_full' for parcel ogc_fid:897682395, pin:1 28 43 02 030 000C-003.0. Empty value in column 'o_city' for parcel ogc_fid:897682395, pin:1 28 43 02 030 000C-003.0. Empty value in column 'legal_full' for parcel ogc_fid:897669367, pin:1 28 43 01 A00 0020.0000. Empty value in column 'legal_full' for parcel ogc_fid:897685942, pin:1 28 43 01 A00 0020.0100. Empty value in column 'legal_full' for parcel ogc_fid:897682650, pin:1 28 43 01 A00 0020.0200. Empty value in column 'o_city' for parcel ogc_fid:897675964, pin:1 28 43 01 A00 0019.0000. Empty value in column 'o_city' for parcel ogc_fid:897669367, pin:1 28 43 01 A00 0020.0000. Empty value in column 'o_city' for parcel ogc_fid:897682650, pin:1 28 43 01 A00 0020.0200. Empty value in column 'o_zipcode' for parcel ogc_fid:897669367, pin:1 28 43 01 A00 0020.0000. Empty value in column 'o_address1' for parcel ogc_fid:897677376, pin:1 28 43 01 A00 0012.0400. Empty value in column 'o_zipcode' for parcel ogc_fid:897677376, pin:1 28 43 01 A00 0012.0400. Empty value in column 'o_address1' for parcel ogc_fid:897693360, pin:1 28 43 01 A00 0012.0300. Empty value in column 'o_city' for parcel ogc_fid:897693360, pin:1 28 43 01 A00 0012.0300. Empty value in column 'o_zipcode' for parcel ogc_fid:897692262, pin:1 28 43 01 A00 0004.0000. Empty value in column 'legal_full' for parcel ogc_fid:897693360, pin:1 28 43 01 A00 0012.0300. No value in any of the specified square footage fields for parcel ogc_fid:897693360, pin:1 28 43 01 A00 0012.0300. Empty value in column 'o_address1' for parcel ogc_fid:897692262, pin:1 28 43 01 A00 0004.0000. Empty value in column 'legal_full' for parcel ogc_fid:897675964, pin:1 28 43 01 A00 0019.0000. Empty value in column 'o_city' for parcel ogc_fid:897677376, pin:1 28 43 01 A00 0012.0400. Empty value in column 'o_address1' for parcel ogc_fid:897669367, pin:1 28 43 01 A00 0020.0000. Empty value in column 'legal_full' for parcel ogc_fid:897677376, pin:1 28 43 01 A00 0012.0400. Empty value in column 'o_city' for parcel ogc_fid:897679662, pin:1 28 43 01 A00 0012.0000. Empty value in column 'legal_full' for parcel ogc_fid:897692262, pin:1 28 43 01 A00 0004.0000. Empty value in column 'o_city' for parcel ogc_fid:897660525, pin:1 28 43 01 A00 0018.0000. Empty value in column 'o_zipcode' for parcel ogc_fid:897682650, pin:1 28 43 01 A00 0020.0200. Empty value in column 'legal_full' for parcel ogc_fid:897660525, pin:1 28 43 01 A00 0018.0000. Empty value in column 'o_city' for parcel ogc_fid:897692262, pin:1 28 43 01 A00 0004.0000. Empty value in column 'o_zipcode' for parcel ogc_fid:897693360, pin:1 28 43 01 A00 0012.0300. Empty value in column 'o_zipcode' for parcel ogc_fid:897682395, pin:1 28 43 02 030 000C-003.0"
DeSoto,Failure,"Empty value in column 'legal_full' for parcel ogc_fid:897176309, pin:083825000006700000. Empty value in column 'legal_full' for parcel ogc_fid:897181952, pin:253724024600B00160. Empty value in column 'legal_full' for parcel ogc_fid:897170342, pin:273724004801300120. Empty value in column 'legal_full' for parcel ogc_fid:897170540, pin:103823034905300180. Empty value in column 'legal_full' for parcel ogc_fid:897181805, pin:2637270A0503800000. No value in any of the specified square footage fields for parcel ogc_fid:897176309, pin:083825000006700000. No value in any of the specified square footage fields for parcel ogc_fid:897181805, pin:2637270A0503800000. Empty value in column 'legal_full' for parcel ogc_fid:897170180, pin:043824000000630000. Empty value in column 'legal_full' for parcel ogc_fid:897170904, pin:143823000000120000. Empty value in column 'legal_full' for parcel ogc_fid:897169021, pin:253824000000600000. No value in any of the specified square footage fields for parcel ogc_fid:897170540, pin:103823034905300180. Empty value in column 'legal_full' for parcel ogc_fid:897182576, pin:13372402750000005D. No value in any of the specified square footage fields for parcel ogc_fid:897181952, pin:253724024600B00160. Empty value in column 'legal_full' for parcel ogc_fid:897179948, pin:083825000004500000"
Wakulla,Failure,"Empty value in column 'o_zipcode' for parcel ogc_fid:897188508, pin:000000308206140000. Empty value in column 'o_city' for parcel ogc_fid:897183757, pin:000000308206184003. Empty value in column 'o_city' for parcel ogc_fid:897190806, pin:000003100006600004. Empty value in column 'o_zipcode' for parcel ogc_fid:897203463, pin:000002300006557004. Empty value in column 'o_address1' for parcel ogc_fid:897207765, pin:000000308206107000. No value in any of the specified square footage fields for parcel ogc_fid:897203091, pin:000002533606589A03. Empty value in column 'o_address1' for parcel ogc_fid:897186042, pin:000000308206167000. Empty value in column 'o_address1' for parcel ogc_fid:897203091, pin:000002533606589A03. No value in any of the specified square footage fields for parcel ogc_fid:897205178, pin:000001510106333021. Empty value in column 'o_zipcode' for parcel ogc_fid:897207765, pin:000000308206107000. Empty value in column 'o_zipcode' for parcel ogc_fid:897199644, pin:000000308206141000. Empty value in column 'o_city' for parcel ogc_fid:897199644, pin:000000308206141000. Empty value in column 'o_address1' for parcel ogc_fid:897190806, pin:000003100006600004. Empty value in column 'o_address1' for parcel ogc_fid:897203463, pin:000002300006557004. Empty value in column 'legal_full' for parcel ogc_fid:897203463, pin:000002300006557004. Empty value in column 'o_zipcode' for parcel ogc_fid:897203091, pin:000002533606589A03. Empty value in column 'o_address1' for parcel ogc_fid:897205178, pin:000001510106333021. Empty value in column 'legal_full' for parcel ogc_fid:897186042, pin:000000308206167000. Empty value in column 'o_zipcode' for parcel ogc_fid:897190806, pin:000003100006600004. No value in any of the specified square footage fields for parcel ogc_fid:897188508, pin:000000308206140000. Empty value in column 'o_city' for parcel ogc_fid:897205178, pin:000001510106333021. Empty value in column 'o_address1' for parcel ogc_fid:897199644, pin:000000308206141000. Empty value in column 'o_zipcode' for parcel ogc_fid:897183757, pin:000000308206184003. Empty value in column 'o_city' for parcel ogc_fid:897189768, pin:000001510106333020. Empty value in column 'legal_full' for parcel ogc_fid:897189768, pin:000001510106333020. Empty value in column 'o_address1' for parcel ogc_fid:897183757, pin:000000308206184003. Empty value in column 'o_city' for parcel ogc_fid:897203091, pin:000002533606589A03. Empty value in column 'o_address1' for parcel ogc_fid:897189768, pin:000001510106333020. Empty value in column 'legal_full' for parcel ogc_fid:897199644, pin:000000308206141000. Empty value in column 'o_city' for parcel ogc_fid:897186042, pin:000000308206167000. Empty value in column 'legal_full' for parcel ogc_fid:897203091, pin:000002533606589A03. Empty value in column 'o_address1' for parcel ogc_fid:897188508, pin:000000308206140000. Empty value in column 'legal_full' for parcel ogc_fid:897190806, pin:000003100006600004. Empty value in column 'o_city' for parcel ogc_fid:897203463, pin:000002300006557004. Empty value in column 'o_zipcode' for parcel ogc_fid:897205178, pin:000001510106333021. Empty value in column 'legal_full' for parcel ogc_fid:897183757, pin:000000308206184003. No value in any of the specified square footage fields for parcel ogc_fid:897186042, pin:000000308206167000. Empty value in column 'o_city' for parcel ogc_fid:897207765, pin:000000308206107000. Empty value in column 'o_city' for parcel ogc_fid:897188508, pin:000000308206140000. Empty value in column 'o_zipcode' for parcel ogc_fid:897189768, pin:000001510106333020. Empty value in column 'legal_full' for parcel ogc_fid:897205178, pin:000001510106333021. Empty value in column 'o_zipcode' for parcel ogc_fid:897186042, pin:000000308206167000. No value in any of the specified square footage fields for parcel ogc_fid:897189768, pin:000001510106333020. Empty value in column 'legal_full' for parcel ogc_fid:897188508, pin:000000308206140000. Empty value in column 'legal_full' for parcel ogc_fid:897207765, pin:000000308206107000"
Bradford,Failure,"Empty value in column 'legal_full' for parcel ogc_fid:785349735, pin:01422000000. Empty value in column 'legal_full' for parcel ogc_fid:785341008, pin:00513000300. Empty value in column 'legal_full' for parcel ogc_fid:785344661, pin:02794A00102. Empty value in column 'legal_full' for parcel ogc_fid:785341540, pin:00455000200. Empty value in column 'legal_full' for parcel ogc_fid:785350990, pin:02344000202. Empty value in column 'legal_full' for parcel ogc_fid:785352792, pin:00968001200. Empty value in column 'legal_full' for parcel ogc_fid:785351353, pin:01462000203. Empty value in column 'legal_full' for parcel ogc_fid:785352724, pin:00258B01200. Empty value in column 'legal_full' for parcel ogc_fid:785355308, pin:06034A00903. Empty value in column 'legal_full' for parcel ogc_fid:785355858, pin:05719000400. No value in any of the specified square footage fields for parcel ogc_fid:785352724, pin:00258B01200. No value in any of the specified square footage fields for parcel ogc_fid:785341540, pin:00455000200"
Baker,Failure,Could not retrieve sample data for empty column check.
Hardee,Failure,"Empty value in column 'legal_full' for parcel ogc_fid:897225507, pin:0534260000075300000. Empty value in column 'o_address1' for parcel ogc_fid:897225942, pin:1034250000033000000. Empty value in column 'o_city' for parcel ogc_fid:897232241, pin:09342502920000B0007. Empty value in column 'o_address1' for parcel ogc_fid:897237834, pin:3233260100000010001. Empty value in column 'o_zipcode' for parcel ogc_fid:897226082, pin:0134260000053500000. Empty value in column 'legal_full' for parcel ogc_fid:897229005, pin:0834260000062300000. Empty value in column 'legal_full' for parcel ogc_fid:897235616, pin:2933260100000010001. Empty value in column 'o_city' for parcel ogc_fid:897235616, pin:2933260100000010001. Empty value in column 'o_city' for parcel ogc_fid:897225507, pin:0534260000075300000. Empty value in column 'o_zipcode' for parcel ogc_fid:897232241, pin:09342502920000B0007. Empty value in column 'o_zipcode' for parcel ogc_fid:897225942, pin:1034250000033000000. Empty value in column 'legal_full' for parcel ogc_fid:897226082, pin:0134260000053500000. Empty value in column 'o_city' for parcel ogc_fid:897226082, pin:0134260000053500000. Empty value in column 'legal_full' for parcel ogc_fid:897232241, pin:09342502920000B0007. Empty value in column 'o_city' for parcel ogc_fid:897225942, pin:1034250000033000000. Empty value in column 'o_address1' for parcel ogc_fid:897235616, pin:2933260100000010001. Empty value in column 'o_zipcode' for parcel ogc_fid:897230486, pin:2233240100000010003. Empty value in column 'o_address1' for parcel ogc_fid:897226082, pin:0134260000053500000. Empty value in column 'o_address1' for parcel ogc_fid:897229005, pin:0834260000062300000. Empty value in column 'legal_full' for parcel ogc_fid:897225942, pin:1034250000033000000. Empty value in column 'legal_full' for parcel ogc_fid:897237834, pin:3233260100000010001. Empty value in column 'o_zipcode' for parcel ogc_fid:897237446, pin:0534260000075200000. Empty value in column 'o_zipcode' for parcel ogc_fid:897229005, pin:0834260000062300000. No value in any of the specified square footage fields for parcel ogc_fid:897229005, pin:0834260000062300000. Empty value in column 'o_zipcode' for parcel ogc_fid:897235616, pin:2933260100000010001. Empty value in column 'o_address1' for parcel ogc_fid:897225507, pin:0534260000075300000. Empty value in column 'o_city' for parcel ogc_fid:897237446, pin:0534260000075200000. Empty value in column 'o_address1' for parcel ogc_fid:897230486, pin:2233240100000010003. Empty value in column 'o_zipcode' for parcel ogc_fid:897225507, pin:0534260000075300000. Empty value in column 'o_address1' for parcel ogc_fid:897232241, pin:09342502920000B0007. Empty value in column 'o_city' for parcel ogc_fid:897229005, pin:0834260000062300000. Empty value in column 'o_city' for parcel ogc_fid:897237834, pin:3233260100000010001. Empty value in column 'o_address1' for parcel ogc_fid:897225982, pin:1036250000057700000. Empty value in column 'legal_full' for parcel ogc_fid:897230486, pin:2233240100000010003. Empty value in column 'legal_full' for parcel ogc_fid:897225982, pin:1036250000057700000. Empty value in column 'o_zipcode' for parcel ogc_fid:897225982, pin:1036250000057700000. Empty value in column 'o_address1' for parcel ogc_fid:897237446, pin:0534260000075200000. Empty value in column 'o_city' for parcel ogc_fid:897225982, pin:1036250000057700000. Empty value in column 'o_city' for parcel ogc_fid:897230486, pin:2233240100000010003. Empty value in column 'o_zipcode' for parcel ogc_fid:897237834, pin:3233260100000010001. Empty value in column 'legal_full' for parcel ogc_fid:897237446, pin:0534260000075200000"
Washington,Failure,"No value in any of the specified square footage fields for parcel ogc_fid:897262138, pin:000000000022590007. No value in any of the specified square footage fields for parcel ogc_fid:897239873, pin:000000000100140008. Empty value in column 'legal_full' for parcel ogc_fid:897275211, pin:000000000022590005. No value in any of the specified square footage fields for parcel ogc_fid:897262275, pin:000000000022590013. Empty value in column 'legal_full' for parcel ogc_fid:897240972, pin:000000001412670010. No value in any of the specified square footage fields for parcel ogc_fid:897240972, pin:000000001412670010. Empty value in column 'legal_full' for parcel ogc_fid:897262275, pin:000000000022590013. Empty value in column 'legal_full' for parcel ogc_fid:897268207, pin:000000000022580122. Empty value in column 'legal_full' for parcel ogc_fid:897266509, pin:000000000704660015. Empty value in column 'legal_full' for parcel ogc_fid:897279127, pin:000000000100140005. No value in any of the specified square footage fields for parcel ogc_fid:897268207, pin:000000000022580122. No value in any of the specified square footage fields for parcel ogc_fid:897266509, pin:000000000704660015. Empty value in column 'legal_full' for parcel ogc_fid:897268737, pin:000000000022580121. Empty value in column 'legal_full' for parcel ogc_fid:897280198, pin:000000000004500054. Empty value in column 'legal_full' for parcel ogc_fid:897262138, pin:000000000022590007. No value in any of the specified square footage fields for parcel ogc_fid:897279127, pin:000000000100140005. Empty value in column 'legal_full' for parcel ogc_fid:897239873, pin:000000000100140008. No value in any of the specified square footage fields for parcel ogc_fid:897280198, pin:000000000004500054"
Taylor,Failure,"Empty value in column 's_address' for parcel ogc_fid:897292336, pin:01426-001. Empty value in column 'o_zipcode' for parcel ogc_fid:897284148, pin:01426-000. Empty value in column 'o_address1' for parcel ogc_fid:897287971, pin:01109-000. Empty value in column 'legal_full' for parcel ogc_fid:897296135, pin:01219-100. Empty value in column 'o_city' for parcel ogc_fid:897292331, pin:01432-016. Empty value in column 'o_address1' for parcel ogc_fid:897292336, pin:01426-001. Empty value in column 'legal_full' for parcel ogc_fid:897283943, pin:01095-300. Empty value in column 'legal_full' for parcel ogc_fid:897297903, pin:01108-000. Empty value in column 'o_city' for parcel ogc_fid:897299528, pin:01109-060. Empty value in column 'o_zipcode' for parcel ogc_fid:897287971, pin:01109-000. Empty value in column 'o_address1' for parcel ogc_fid:897299528, pin:01109-060. Empty value in column 'o_zipcode' for parcel ogc_fid:897296637, pin:01047-000. Empty value in column 'o_address1' for parcel ogc_fid:897292331, pin:01432-016. Empty value in column 'o_address1' for parcel ogc_fid:897296135, pin:01219-100. Empty value in column 'legal_full' for parcel ogc_fid:897292331, pin:01432-016. Empty value in column 'o_zipcode' for parcel ogc_fid:897299528, pin:01109-060. Empty value in column 'legal_full' for parcel ogc_fid:897296637, pin:01047-000. No value in any of the specified square footage fields for parcel ogc_fid:897292331, pin:01432-016. Empty value in column 'o_address1' for parcel ogc_fid:897296637, pin:01047-000. Empty value in column 'o_city' for parcel ogc_fid:897284148, pin:01426-000. Empty value in column 'legal_full' for parcel ogc_fid:897297176, pin:01160-306. Empty value in column 's_address' for parcel ogc_fid:897287971, pin:01109-000. Empty value in column 's_address' for parcel ogc_fid:897299528, pin:01109-060. No value in any of the specified square footage fields for parcel ogc_fid:897287971, pin:01109-000. Empty value in column 'legal_full' for parcel ogc_fid:897287971, pin:01109-000. Empty value in column 'o_address1' for parcel ogc_fid:897297176, pin:01160-306. Empty value in column 'o_zipcode' for parcel ogc_fid:897297176, pin:01160-306. Empty value in column 'legal_full' for parcel ogc_fid:897284148, pin:01426-000. Empty value in column 's_address' for parcel ogc_fid:897297176, pin:01160-306. No value in any of the specified square footage fields for parcel ogc_fid:897283943, pin:01095-300. Empty value in column 'o_city' for parcel ogc_fid:897296135, pin:01219-100. Empty value in column 'legal_full' for parcel ogc_fid:897299528, pin:01109-060. Empty value in column 'o_zipcode' for parcel ogc_fid:897283943, pin:01095-300. No value in any of the specified square footage fields for parcel ogc_fid:897297903, pin:01108-000. No value in any of the specified square footage fields for parcel ogc_fid:897299528, pin:01109-060. Empty value in column 'o_city' for parcel ogc_fid:897292336, pin:01426-001. Empty value in column 'legal_full' for parcel ogc_fid:897292336, pin:01426-001. Empty value in column 'o_address1' for parcel ogc_fid:897297903, pin:01108-000. Empty value in column 'o_zipcode' for parcel ogc_fid:897292336, pin:01426-001. Empty value in column 's_address' for parcel ogc_fid:897297903, pin:01108-000. Empty value in column 'o_address1' for parcel ogc_fid:897284148, pin:01426-000. Empty value in column 'o_zipcode' for parcel ogc_fid:897297903, pin:01108-000. Empty value in column 's_address' for parcel ogc_fid:897283943, pin:01095-300. Empty value in column 'o_address1' for parcel ogc_fid:897283943, pin:01095-300. Empty value in column 'o_zipcode' for parcel ogc_fid:897296135, pin:01219-100. Empty value in column 'o_city' for parcel ogc_fid:897297176, pin:01160-306. Empty value in column 'o_zipcode' for parcel ogc_fid:897292331, pin:01432-016. No value in any of the specified square footage fields for parcel ogc_fid:897292336, pin:01426-001. Empty value in column 'o_city' for parcel ogc_fid:897297903, pin:01108-000. Empty value in column 'o_city' for parcel ogc_fid:897283943, pin:01095-300. No value in any of the specified square footage fields for parcel ogc_fid:897297176, pin:01160-306. Empty value in column 'o_city' for parcel ogc_fid:897296637, pin:01047-000. Empty value in column 'o_city' for parcel ogc_fid:897287971, pin:01109-000"
Holmes,Failure,Could not retrieve most recent record from API.
Madison,Failure,"Empty value in column 'o_zipcode' for parcel ogc_fid:897651205, pin:0000003242000000. Empty value in column 'o_zipcode' for parcel ogc_fid:897644331, pin:0000000277001000. Empty value in column 'o_city' for parcel ogc_fid:897650956, pin:0000002077000000. Empty value in column 'o_zipcode' for parcel ogc_fid:897646999, pin:0000001184001011. Empty value in column 'o_address1' for parcel ogc_fid:897659144, pin:000000313300100A. Empty value in column 'o_zipcode' for parcel ogc_fid:897644293, pin:0000000491001000. Empty value in column 'o_city' for parcel ogc_fid:897646999, pin:0000001184001011. Empty value in column 'o_zipcode' for parcel ogc_fid:897650956, pin:0000002077000000. Empty value in column 'o_address1' for parcel ogc_fid:897644331, pin:0000000277001000. Empty value in column 'o_address1' for parcel ogc_fid:897646999, pin:0000001184001011. Empty value in column 'o_address1' for parcel ogc_fid:897647662, pin:0000003126002000. Empty value in column 'o_zipcode' for parcel ogc_fid:897647662, pin:0000003126002000. Empty value in column 'o_city' for parcel ogc_fid:897644998, pin:000000315500200A. No value in any of the specified square footage fields for parcel ogc_fid:897652656, pin:0000003216000000. Empty value in column 'o_zipcode' for parcel ogc_fid:897652656, pin:0000003216000000. Empty value in column 'legal_full' for parcel ogc_fid:897644293, pin:0000000491001000. Empty value in column 'legal_full' for parcel ogc_fid:897647662, pin:0000003126002000. Empty value in column 'legal_full' for parcel ogc_fid:897659144, pin:000000313300100A. Empty value in column 'o_city' for parcel ogc_fid:897644331, pin:0000000277001000. Empty value in column 'o_address1' for parcel ogc_fid:897644668, pin:0000002069000000. Empty value in column 'o_zipcode' for parcel ogc_fid:897644668, pin:0000002069000000. Empty value in column 'legal_full' for parcel ogc_fid:897644998, pin:000000315500200A. Empty value in column 'o_zipcode' for parcel ogc_fid:897659144, pin:000000313300100A. Empty value in column 'o_address1' for parcel ogc_fid:897652656, pin:0000003216000000. Empty value in column 'o_city' for parcel ogc_fid:897647662, pin:0000003126002000. Empty value in column 'legal_full' for parcel ogc_fid:897644668, pin:0000002069000000. Empty value in column 'o_address1' for parcel ogc_fid:897650956, pin:0000002077000000. Empty value in column 'o_address1' for parcel ogc_fid:897644998, pin:000000315500200A. Empty value in column 'legal_full' for parcel ogc_fid:897652656, pin:0000003216000000. No value in any of the specified square footage fields for parcel ogc_fid:897644293, pin:0000000491001000. Empty value in column 'o_address1' for parcel ogc_fid:897651205, pin:0000003242000000. Empty value in column 'o_city' for parcel ogc_fid:897651205, pin:0000003242000000. Empty value in column 'legal_full' for parcel ogc_fid:897650956, pin:0000002077000000. Empty value in column 'o_city' for parcel ogc_fid:897644293, pin:0000000491001000. Empty value in column 'legal_full' for parcel ogc_fid:897646999, pin:0000001184001011. Empty value in column 'legal_full' for parcel ogc_fid:897644331, pin:0000000277001000. Empty value in column 'legal_full' for parcel ogc_fid:897651205, pin:0000003242000000. Empty value in column 'o_city' for parcel ogc_fid:897644668, pin:0000002069000000. Empty value in column 'o_address1' for parcel ogc_fid:897644293, pin:0000000491001000. Empty value in column 'o_city' for parcel ogc_fid:897652656, pin:0000003216000000. Empty value in column 'o_zipcode' for parcel ogc_fid:897644998, pin:000000315500200A. Empty value in column 'o_city' for parcel ogc_fid:897659144, pin:000000313300100A"
Gilchrist,Failure,Could not retrieve sample data for empty column check.
Dixie,Failure,"Empty value in column 'legal_full' for parcel ogc_fid:897326304, pin:301312000036200004. Empty value in column 'legal_full' for parcel ogc_fid:897328943, pin:241013488000000010. Empty value in column 'legal_full' for parcel ogc_fid:897328774, pin:191312299400034110. Empty value in column 'legal_full' for parcel ogc_fid:897332715, pin:301312000036200003. Empty value in column 'legal_full' for parcel ogc_fid:897325748, pin:181111000011760000. No value in any of the specified square footage fields for parcel ogc_fid:897327091, pin:240913439100000280. Empty value in column 's_city' for parcel ogc_fid:897326304, pin:301312000036200004. No value in any of the specified square footage fields for parcel ogc_fid:897326304, pin:301312000036200004. Empty value in column 'legal_full' for parcel ogc_fid:897327422, pin:3013123500000E0080. Empty value in column 'legal_full' for parcel ogc_fid:897317425, pin:141210061400310060. Empty value in column 'legal_full' for parcel ogc_fid:897327091, pin:240913439100000280. No value in any of the specified square footage fields for parcel ogc_fid:897332715, pin:301312000036200003. No value in any of the specified square footage fields for parcel ogc_fid:897328943, pin:241013488000000010. Empty value in column 'legal_full' for parcel ogc_fid:897323266, pin:301312000036200006. Empty value in column 'legal_full' for parcel ogc_fid:897332743, pin:301312000035580000. No value in any of the specified square footage fields for parcel ogc_fid:897323266, pin:301312000036200006. Empty value in column 's_city' for parcel ogc_fid:897332715, pin:301312000036200003"
Union,Failure,"No value in any of the specified square footage fields for parcel ogc_fid:897334148, pin:3005201M00000800. Empty value in column 'legal_full' for parcel ogc_fid:897335309, pin:3105201600003000. Empty value in column 's_city' for parcel ogc_fid:897335309, pin:3105201600003000. Empty value in column 'legal_full' for parcel ogc_fid:897336297, pin:3605199700000600. Empty value in column 'legal_full' for parcel ogc_fid:897338694, pin:0606180000000500. Empty value in column 'legal_full' for parcel ogc_fid:897339097, pin:3104190000000121. No value in any of the specified square footage fields for parcel ogc_fid:897336270, pin:3104190000000130. Empty value in column 'legal_full' for parcel ogc_fid:897334148, pin:3005201M00000800. No value in any of the specified square footage fields for parcel ogc_fid:897333540, pin:0606180000000110. No value in any of the specified square footage fields for parcel ogc_fid:897332969, pin:0606180000000400. Empty value in column 'legal_full' for parcel ogc_fid:897339491, pin:3006196800000900. Empty value in column 'legal_full' for parcel ogc_fid:897338940, pin:0605210000000370. Empty value in column 'legal_full' for parcel ogc_fid:897336270, pin:3104190000000130. Empty value in column 'legal_full' for parcel ogc_fid:897333540, pin:0606180000000110. Empty value in column 'legal_full' for parcel ogc_fid:897332969, pin:0606180000000400. Empty value in column 's_zipcode' for parcel ogc_fid:897335309, pin:3105201600003000"
Jefferson,Failure,"Empty value in column 'o_address1' for parcel ogc_fid:897551208, pin:00-00-00-0340-0000-0780. Empty value in column 'o_zipcode' for parcel ogc_fid:897551611, pin:00-00-00-0350-0000-0010. Empty value in column 'o_city' for parcel ogc_fid:897546803, pin:00-00-00-0190-0000-0380. Empty value in column 'o_address1' for parcel ogc_fid:897556442, pin:00-00-00-0360-0000-0731. Empty value in column 'o_zipcode' for parcel ogc_fid:897556442, pin:00-00-00-0360-0000-0731. Empty value in column 'o_city' for parcel ogc_fid:897556442, pin:00-00-00-0360-0000-0731. Empty value in column 'o_zipcode' for parcel ogc_fid:897549009, pin:00-00-00-0370-0000-0141. Empty value in column 'o_address1' for parcel ogc_fid:897549444, pin:00-00-00-0360-0000-1600. Empty value in column 'o_city' for parcel ogc_fid:897555611, pin:00-00-00-0360-0000-0500. Empty value in column 'o_city' for parcel ogc_fid:897549444, pin:00-00-00-0360-0000-1600. Empty value in column 'o_address1' for parcel ogc_fid:897547122, pin:00-00-00-0360-0000-1670. Empty value in column 'o_city' for parcel ogc_fid:897547122, pin:00-00-00-0360-0000-1670. Empty value in column 'o_address1' for parcel ogc_fid:897546803, pin:00-00-00-0190-0000-0380. Empty value in column 'o_city' for parcel ogc_fid:897551642, pin:00-00-00-0311-0000-0040. Empty value in column 'o_address1' for parcel ogc_fid:897555611, pin:00-00-00-0360-0000-0500. Empty value in column 'o_zipcode' for parcel ogc_fid:897546803, pin:00-00-00-0190-0000-0380. Empty value in column 'legal_full' for parcel ogc_fid:897555611, pin:00-00-00-0360-0000-0500. Empty value in column 'legal_full' for parcel ogc_fid:897551208, pin:00-00-00-0340-0000-0780. Empty value in column 'o_city' for parcel ogc_fid:897549009, pin:00-00-00-0370-0000-0141. Empty value in column 'o_zipcode' for parcel ogc_fid:897549444, pin:00-00-00-0360-0000-1600. Empty value in column 'legal_full' for parcel ogc_fid:897551642, pin:00-00-00-0311-0000-0040. Empty value in column 'o_address1' for parcel ogc_fid:897551642, pin:00-00-00-0311-0000-0040. Empty value in column 'legal_full' for parcel ogc_fid:897549444, pin:00-00-00-0360-0000-1600. Empty value in column 'o_address1' for parcel ogc_fid:897551611, pin:00-00-00-0350-0000-0010. Empty value in column 'legal_full' for parcel ogc_fid:897549009, pin:00-00-00-0370-0000-0141. Empty value in column 'o_address1' for parcel ogc_fid:897546889, pin:00-00-00-0370-0000-0140. Empty value in column 'o_zipcode' for parcel ogc_fid:897551642, pin:00-00-00-0311-0000-0040. Empty value in column 'o_city' for parcel ogc_fid:897551208, pin:00-00-00-0340-0000-0780. Empty value in column 'legal_full' for parcel ogc_fid:897546889, pin:00-00-00-0370-0000-0140. Empty value in column 'o_zipcode' for parcel ogc_fid:897546889, pin:00-00-00-0370-0000-0140. Empty value in column 'o_zipcode' for parcel ogc_fid:897555611, pin:00-00-00-0360-0000-0500. Empty value in column 'legal_full' for parcel ogc_fid:897556442, pin:00-00-00-0360-0000-0731. Empty value in column 'o_address1' for parcel ogc_fid:897549009, pin:00-00-00-0370-0000-0141. Empty value in column 'o_city' for parcel ogc_fid:897551611, pin:00-00-00-0350-0000-0010. Empty value in column 'o_city' for parcel ogc_fid:897546889, pin:00-00-00-0370-0000-0140. Empty value in column 'legal_full' for parcel ogc_fid:897551611, pin:00-00-00-0350-0000-0010. Empty value in column 'o_zipcode' for parcel ogc_fid:897551208, pin:00-00-00-0340-0000-0780. Empty value in column 'legal_full' for parcel ogc_fid:897547122, pin:00-00-00-0360-0000-1670. Empty value in column 'o_zipcode' for parcel ogc_fid:897547122, pin:00-00-00-0360-0000-1670. Empty value in column 'legal_full' for parcel ogc_fid:897546803, pin:00-00-00-0190-0000-0380"
